,asin,average_score
0,B075FL4H89,5.000000000000001
1,B07HFHX6HX,5.000000000000001
2,B01FCFZS3G,5.0
3,B01M59QP6C,5.0
4,B01N4E0RF1,5.0
5,B01NB1KG8U,5.0
6,B06Y16RL4W,5.0
7,B072ZWCKP5,5.0
8,B0731KVYPN,5.0
9,B07579T83L,5.0
10,B0766TPHSH,5.0
11,B077578W38,5.0
12,B0787V183F,5.0
13,B079NM9SZL,5.0
14,B07BFCZYRM,5.0
15,B07JMPGNHK,5.0
16,B07K2FZYKV,5.0
17,B07KFNRQ5S,5.0
18,B07L543G3M,5.0
19,B07N9M9FX4,5.0
20,B07PQSYGKB,5.0
21,B07PY52GVP,5.0
22,B07Q2WPMNB,5.0
23,B07Q2X19LG,5.0
24,B07Q84DPZH,5.0
25,B07R4PP7FF,5.0
26,B07RDMLR4V,5.0
27,B07S4755CM,5.0
28,B07SCJNSRT,5.0
29,B07VZL3L5V,5.0
30,B07XVZXR5Y,5.0
31,B01M1HY1E3,5.0
32,B002UHS0UI,5.0
33,B00NKR9MJA,5.0
34,B011AC4U7A,5.0
35,B00MWI4KKE,5.0
36,B00OZTSY6Y,5.0
37,B00TRLXO6U,5.0
38,B00JEHJMG8,5.0
39,B00FTV382C,5.0
40,B00NO2WXM4,5.0
41,B00E6FGSHY,5.0
42,B00XQVDW6Y,5.0
43,B00CGIULGC,5.0
44,B00F3JPKCG,5.0
45,B0096QYH80,5.0
46,B00CEKXJ3Y,5.0
47,B00A7F5M9W,5.0
48,B07WSJYDXX,4.844932906258883
49,B00F2SKPIM,4.666666666666667
50,B07H41NB46,4.534798718776649
51,B07CMBB6PH,4.441266743328091
52,B01D1J9BGU,4.430505295596246
53,B0799ZMY6D,4.379731625035531
55,B071ZDQ6MV,4.255698546922103
56,B07CHWMYHP,4.152938342864736
57,B07Q26V49K,4.017173246141109
58,B01M0PADR4,4.00410148689294
59,B074VFRKZG,4.0
60,B07RT1X4FJ,4.0
61,B015ROR4PC,4.0
62,B00LAEA84S,4.0
63,B00WHE2WCG,4.0
64,B07XQJ33PL,4.0
65,B07V5KS95Y,4.0
66,B00O2ALRNS,4.0
67,B077MR13HM,4.0
68,B07FM9913M,4.0
69,B077ZKKDWK,4.0
70,B00O15MWOM,4.0
71,B00E45043A,4.0
72,B07KKL5KGG,4.0
73,B078YXQ38Z,4.0
74,B01N4IHGHI,4.0
75,B018OMP8ES,3.6666666666666665
76,B013XAPUW6,3.6666666666666665
77,B07C6FCC8G,3.6626717061106007
80,B00HWEMZ1E,3.310134187482234
81,B07NZXXZB2,3.1790895396090204
82,B07NPRQYP1,3.07570310617306
83,B0711S4T9J,3.0
84,B00F9RRVUG,3.0
86,B079C1K282,3.0
87,B07T7MM64L,3.0
88,B01ATTBXY8,3.0
89,B0788F8DKC,3.0
90,B06XR8G1TX,2.748710894777328
91,B077YTCMH9,2.653993119203313
92,B01N9XOXCK,2.653993119203313
93,B076XLLCQC,2.579295446683864
94,B07N4M412B,2.4588150285942074
96,B004C7NVD0,2.145683906563014
97,B01CYYYRNK,2.0081694668247754
98,B00VH2TWBS,2.0
99,B07BFHTJTK,2.0
100,B07PV7LN4X,2.0
101,B00EP2BN00,2.0
102,B0723HG3FG,2.0
103,B00JS73V2U,1.6117533714589434
104,B014GCG150,1.0
105,B01HTZ4T8C,1.0
106,B01CN1RZY2,1.0
107,B01LXF0WML,1.0
108,B00836Y6B2,1.0
109,B01N5BOBIF,1.0
110,B07RG85WY6,1.0
111,B079H6RLKQ,1.0
112,B07RB78W37,1.0
113,B06XRG6S73,1.0
114,B06XRJQX91,1.0
115,B071H9KKKF,1.0
116,B00WF988BW,1.0
117,B07JVDQP47,1.0
118,B07HD3QC65,1.0
120,B07FMD7MRX,1.0
121,B078RBVVCV,1.0
122,B07CH2FZW5,1.0
123,B079SQ5VHX,1.0
124,B07YZS6QT3,1.0
